BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,BNK_BRNCH_NME,BNK_IFSC_CDE,BNK_VIFSC_CDE
6545,23,HASSAN,3,Arsikere,ALLAHABAD BANK,6545,PALYA,ALLA0210678,ALLA0210678000
6546,6,RAICHUR,3,Raichur,ALLAHABAD BANK,6546,RAICHUR,ALLA0212355,ALLA0212355000
6547,20,BANGALORE URBAN,1,BANGALORE-NORTH,BANK OF INDIA,6547,MALLESWARAM C&P BANKING,BKID0008401,BKID0008401000
6548,27,CHAMARAJANAGAR,5,Kollegala(Hanur),KAVERI GRAMEENA BANK,6548,ANUR,SBIN0RRCKGB,SBIN0RRCKGB428
6549,22,MANDYA,6,MAddur,KAVERI GRAMEENA BANK,6549,K M DODDI,SBIN0RRCKGB,SBIN0RRCKGB429
6550,2,BAGALKOTE,5,Bagalkote,ALLAHABAD BANK,6550,BAGALKOT,ALLA0212548,ALLA0212548000
6551,13,Chitradurga,3,chitradurga,ALLAHABAD BANK,6551,Chitradurga,ALLA0213097,ALLA0213097000
6552,2,BAGALKOTE,4,Badami,Karnataka Bank Ltd,6552,BADAMI,KARB0000931,KARB0000931000
6553,2,BAGALKOTE,5,Bagalkote,Karnataka Bank Ltd,6553,BAGALKOT,KARB0000051,KARB0000051000
6554,2,BAGALKOTE,1,Jamakhandi,Karnataka Bank Ltd,6554,BANAHATTI,KARB0000068,KARB0000068000
6555,2,BAGALKOTE,3,Mudhol,Karnataka Bank Ltd,6555,GULGALA JAMBAGI,KARB0000278,KARB0000278000
6556,2,BAGALKOTE,6,Hungund,Karnataka Bank Ltd,6556,ILKAL,KARB0000354,KARB0000354000
6557,2,BAGALKOTE,1,Jamakhandi,Karnataka Bank Ltd,6557,JAMKHANDI,KARB0000361,KARB0000361000
6558,2,BAGALKOTE,1,Jamakhandi,Karnataka Bank Ltd,6558,KADAPATTI G.P,KARB0000449,KARB0000449000
6559,2,BAGALKOTE,3,Mudhol,Karnataka Bank Ltd,6559,MAHALINGPUR,KARB0000469,KARB0000469000
6560,2,BAGALKOTE,3,Mudhol,Karnataka Bank Ltd,6560,MIRJI,KARB0000599,KARB0000599000
6561,2,BAGALKOTE,3,Mudhol,Karnataka Bank Ltd,6561,MUDHOL,KARB0000528,KARB0000528000
6562,12,BALLARY,5,BELLARY,Karnataka Bank Ltd,6562,BALLARIKARNATAKA,KARB0000074,KARB0000074000
6563,12,BALLARY,5,BELLARY,Karnataka Bank Ltd,6563,BALLARI GANDHINAGAR,KARB0000957,KARB0000957000
6564,12,BALLARY,2,HAGARIBOMMANAHALLI,Karnataka Bank Ltd,6564,HAGARIBOMMANAHALLI,KARB0000297,KARB0000297000
6565,12,BALLARY,1,HADAGALI,Karnataka Bank Ltd,6565,HOOVINAHADAGALI,KARB0000342,KARB0000342000
6566,12,BALLARY,3,HOSPET,Karnataka Bank Ltd,6566,HOSAPETE,KARB0000314,KARB0000314000
6567,12,BALLARY,10,KAMPLI,Karnataka Bank Ltd,6567,KAMPLI,KARB0000445,KARB0000445000
6568,12,BALLARY,9,KOTTURU,Karnataka Bank Ltd,6568,KOTTUR BALLARY,KARB0000396,KARB0000396000
6569,12,BALLARY,4,SIRUGUPPA,Karnataka Bank Ltd,6569,SIRUGUPPA,KARB0000738,KARB0000738000
