BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,Bnk_Brnch_Nme_Eng
163,12,Bellary,28,BELLARY,Bellary DCCB,163,K VEERAPURA PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
164,12,Bellary,28,BELLARY,Bellary DCCB,164,CHELLAGURKI PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
165,12,Bellary,28,BELLARY,Bellary DCCB,165,RUPANAGUDI PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
166,12,Bellary,28,BELLARY,Bellary DCCB,166,KOLAGALLU PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
167,12,Bellary,33,SANDUR,Bellary DCCB,167,SANDURU RAITARA SEVA SAHAKARA SANGHA NIYAMITA  
168,12,Bellary,33,SANDUR,Bellary DCCB,168,HOSADAROJI PRATHAMIKA KRUSHI SAHAKARA SANGHA NI   
169,12,Bellary,33,SANDUR,Bellary DCCB,169,TALURU PRATHAMIKA KRUSHISAHAKARA SANGHA NI   
170,12,Bellary,33,SANDUR,Bellary DCCB,170,ANTAPURA PRATHAMIKA KRUSHI SAHAKARA SANGHA NI  
171,12,Bellary,33,SANDUR,Bellary DCCB,171,METRIKI PRATHAMIKA KRUSHI SAHAKARA SANGHA NI  
172,12,Bellary,33,SANDUR,Bellary DCCB,172,BOMMAGHATTA PRATHAMIKA KRUSHI SAHAKARA SANGHA NI   
